"Player","Pos","Team                     Currently With","Age                     At Signing","Start","End","Yrs","Value","AAV"
"Kirill Kaprizov","LW","MIN                  MIN","28","2026","2033","8","$136,000,000","$17,000,000"
"Leon Draisaitl","C","EDM                  EDM","28","2025","2032","8","$112,000,000","$14,000,000"
"Shea Weber","D","CHI                  CHI","26","2012","2025","14","$110,000,000","$7,857,143"
"Jack Eichel","C","VGK                  VGK","28","2026","2033","8","$108,000,000","$13,500,000"
"Sidney Crosby","C","PIT                  PIT","25","2013","2024","12","$104,400,000","$8,700,000"
"Nathan MacKinnon","C","COL                  COL","27","2023","2030","8","$100,800,000","$12,600,000"
"Connor McDavid","C","EDM                  EDM","20","2018","2025","8","$100,000,000","$12,500,000"
"Mitchell Marner","RW","VGK                  VGK","28","2025","2032","8","$96,000,000","$12,000,000"
"Kyle Connor","LW","WPG                  WPG","28","2026","2033","8","$96,000,000","$12,000,000"
"Mikko Rantanen","RW","DAL                  DAL","28","2025","2032","8","$96,000,000","$12,000,000"
"Elias Pettersson","C","VAN                  VAN","25","2024","2031","8","$92,800,000","$11,600,000"
"Martin Necas","C","COL                  COL","26","2026","2033","8","$92,000,000","$11,500,000"
"Igor Shesterkin","G","NYR                  NYR","28","2025","2032","8","$92,000,000","$11,500,000"
"Erik Karlsson","D","PIT                  PIT","28","2019","2026","8","$92,000,000","$11,500,000"
"William Nylander","C","TOR                  TOR","27","2024","2031","8","$92,000,000","$11,500,000"
"David Pastrnak","RW","BOS                  BOS","26","2023","2030","8","$90,000,000","$11,250,000"
"Rasmus Dahlin","D","BUF                  BUF","23","2024","2031","8","$88,000,000","$11,000,000"
"Drew Doughty","D","LAK                  LAK","29","2019","2026","8","$88,000,000","$11,000,000"
"Adrian Kempe","LW","LAK                  LAK","29","2026","2033","8","$85,000,000","$10,625,000"
"Thomas Harley","D","DAL                  DAL","24","2026","2033","8","$84,700,000","$10,587,500"
"Jonathan Huberdeau","LW","CGY                  CGY","29","2023","2030","8","$84,000,000","$10,500,000"
"Carey Price","G","SJS                  SJS","30","2018","2025","8","$84,000,000","$10,500,000"
"Artemi Panarin","LW","LAK                  LAK","27","2019","2025","7","$81,500,000","$11,642,857"
"Logan Cooley","C","UTA                  UTA","21","2026","2033","8","$80,000,000","$10,000,000"
"Aleksander Barkov","C","FLA                  FLA","26","2022","2029","8","$80,000,000","$10,000,000"
"Jack Eichel","C","VGK                  VGK","21","2018","2025","8","$80,000,000","$10,000,000"
"Tyler Seguin","C","DAL                  DAL","26","2019","2026","8","$78,800,000","$9,850,000"
"Sebastian Aho","LW","CAR                  CAR","26","2024","2031","8","$78,000,000","$9,750,000"
"Noah Dobson","D","MTL                  MTL","25","2025","2032","8","$76,000,000","$9,500,000"
"Seth Jones","D","FLA                  FLA","26","2022","2029","8","$76,000,000","$9,500,000"
"Brayden Point","C","TBL                  TBL","25","2022","2029","8","$76,000,000","$9,500,000"
"Charlie McAvoy","D","BOS                  BOS","24","2022","2029","8","$76,000,000","$9,500,000"
"Matthew Tkachuk","LW","FLA                  FLA","24","2022","2029","8","$76,000,000","$9,500,000"
"Andrei Vasilevskiy","G","TBL                  TBL","25","2020","2027","8","$76,000,000","$9,500,000"
"Mark Stone","RW","VGK                  VGK","26","2019","2026","8","$76,000,000","$9,500,000"
"Nikita Kucherov","RW","TBL                  TBL","25","2019","2026","8","$76,000,000","$9,500,000"
"Darnell Nurse","D","EDM                  EDM","26","2022","2029","8","$74,000,000","$9,250,000"
"Mathew Barzal","C","NYI                  NYI","25","2023","2030","8","$73,200,000","$9,150,000"
"Roman Josi","D","NSH                  NSH","29","2020","2027","8","$72,472,000","$9,059,000"
"Jackson Lacombe","D","ANA                  ANA","24","2026","2033","8","$72,000,000","$9,000,000"
"Jakob Chychrun","D","WAS                  WAS","26","2025","2032","8","$72,000,000","$9,000,000"
"Lane Hutson","D","MTL                  MTL","21","2026","2033","8","$70,800,000","$8,850,000"
"Timo Meier","LW","NJD                  NJD","26","2023","2030","8","$70,400,000","$8,800,000"
"Travis Konecny","C","PHI                  PHI","27","2025","2032","8","$70,000,000","$8,750,000"
"Sergei Bobrovsky","G","FLA                  FLA","30","2019","2025","7","$70,000,000","$10,000,000"
"Dylan Larkin","C","DET                  DET","26","2023","2030","8","$69,600,000","$8,700,000"
"Sam Reinhart","C","FLA                  FLA","28","2024","2031","8","$69,000,000","$8,625,000"
"Mika Zibanejad","C","NYR                  NYR","28","2022","2029","8","$68,000,000","$8,500,000"
"Filip Forsberg","C","NSH                  NSH","27","2022","2029","8","$68,000,000","$8,500,000"
"Mikhail Sergachev","D","UTA                  UTA","24","2023","2030","8","$68,000,000","$8,500,000"
"Brock Faber","D","MIN                  MIN","21","2025","2032","8","$68,000,000","$8,500,000"
"Bo Horvat","C","NYI                  NYI","27","2023","2030","8","$68,000,000","$8,500,000"
"Pierre-Luc Dubois","C","WAS                  WAS","25","2023","2030","8","$68,000,000","$8,500,000"
