player_name,position,stat_season,start_year,aav,cap_at_signing,aav_pct_cap,age_at_signing,gp_pct,toi_per_game,save_pct,hd_save_pct,gsaa,gsaa_per60,gaa,sa_per60,position_group
Igor Shesterkin,G,2024,2025,11500000.0,88000000.0,0.13068181818181818,28.0,0.7439024390243902,57.461202185792345,0.9046259280411194,0.793859649122807,21.560000000000002,0.3690587138863001,2.858664435019115,29.97318218993096,G
Carey Price,G,2019,2018,10500000.0,,,30.0,0.7073170731707317,59.30718390804598,0.9084186575654153,0.6896551724137931,-9.370000000000005,-0.16343894296692177,2.8082892014593805,30.66442494512789,G
Andrei Vasilevskiy,G,2019,2020,9500000.0,81500000.0,0.1165644171779141,25.0,0.6341463414634146,59.32435897435898,0.9170886075949367,0.7142857142857143,3.8000000000000114,0.07390919110496424,2.54792211440797,30.730663669958723,G
Sergei Bobrovsky,G,2019,2019,10000000.0,81500000.0,0.12269938650306748,30.0,0.6097560975609756,55.70733333333334,0.898406374501992,0.7285714285714285,-12.919999999999987,-0.27831165256519164,3.2957958856404304,32.440971266499915,G
Jake Oettinger,G,2024,2025,8250000.0,88000000.0,0.09375,26.0,0.7073170731707317,58.79425287356322,0.9087523277467412,0.7719298245614035,10.650000000000006,0.1873863658579501,2.5864596977576193,28.34548689175187,G
Jeremy Swayman,G,2023,2024,8250000.0,88000000.0,0.09375,25.0,0.5365853658536586,58.314772727272725,0.916083916083916,0.7516778523489933,18.409999999999997,0.43050061383167365,2.525478886139096,30.09529005982423,G
Ilya Sorokin,G,2023,2024,8250000.0,88000000.0,0.09375,27.0,0.6829268292682927,59.39255952380952,0.9083424807903403,0.7661691542288557,1.4300000000000068,0.02579688212508594,3.012642877544987,32.868474987347106,G
Juuse Saros,G,2024,2025,7740000.0,88000000.0,0.08795454545454545,29.0,0.7073170731707317,57.8933908045977,0.8951663527934715,0.7393939393939394,-7.4199999999999875,-0.132586154693774,2.984081918310013,28.46492512495719,G
Connor Hellebuyck,G,2023,2024,8500000.0,88000000.0,0.09659090909090909,30.0,0.7317073170731707,59.455555555555556,0.9210233592880979,0.7389162561576355,33.120000000000005,0.5570547561203514,2.3883386282937766,30.24107643431134,G
Dustin Wolf,G,2024,2026,7500000.0,,,24.0,0.6463414634146342,60.044654088050315,0.9096191091026469,0.7567567567567568,11.930000000000007,0.22492694116538017,2.6395449927203023,29.20467995516963,G
