player_name,position,team,age_at_signing,start_year,end_year,contract_years,total_value_raw,aav_raw,aav,stat_season,mp_id,match_method,is_goalie,playerId,season,name,team_mp,position_mp,games_played,icetime,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_xGoals,I_F_highDangerGoals,I_F_highDangerShots,I_F_shotsOnGoal,I_F_rebounds,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_dZoneGiveaways,penaltiesDrawn,penalties,shotsBlockedByPlayer,faceoffsWon,faceoffsLost,OnIce_F_xGoals,OnIce_A_xGoals,OnIce_F_shotAttempts,OnIce_A_shotAttempts,OnIce_F_highDangerShots,OnIce_A_highDangerShots,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,ev_icetime,ev_I_F_goals,ev_I_F_primaryAssists,ev_I_F_secondaryAssists,ev_I_F_xGoals,ev_OnIce_F_xGoals,ev_OnIce_A_xGoals,ev_OnIce_F_shotAttempts,ev_OnIce_A_shotAttempts,pp_icetime,pp_I_F_goals,pp_I_F_primaryAssists,pp_I_F_secondaryAssists,pp_I_F_xGoals,pp_OnIce_F_xGoals,pp_OnIce_A_xGoals,pp_OnIce_F_shotAttempts,pp_OnIce_A_shotAttempts,sh_icetime,sh_I_F_goals,sh_I_F_primaryAssists,sh_I_F_secondaryAssists,sh_I_F_xGoals,sh_OnIce_F_xGoals,sh_OnIce_A_xGoals,sh_OnIce_F_shotAttempts,sh_OnIce_A_shotAttempts,ongoal,goals,xGoals,flurryAdjustedxGoals,highDangerShots,highDangerGoals,highDangerxGoals,mediumDangerShots,mediumDangerGoals,mediumDangerxGoals,lowDangerShots,lowDangerGoals,lowDangerxGoals,unblocked_shot_attempts
Kirill Kaprizov,LW,MIN                  MIN,28.0,2026,2033,8,"$136,000,000","$17,000,000",17000000.0,2024,8478864,exact,False,8478864,2024,Kirill Kaprizov,MIN,L,41.0,55269.0,57.65,0.62,0.44,0.59,0.45,25.0,22.0,9.0,20.38,10.0,25.0,145.0,18.0,16.0,12.0,59.0,14.0,11.0,8.0,17.0,0.0,2.0,63.94,38.89,1072.0,756.0,77.0,47.0,185.0,75.0,165.0,44612.0,12.0,13.0,6.0,8.39,31.24,25.77,739.0,647.0,7561.0,2.0,7.0,3.0,5.45,20.58,1.84,250.0,28.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,
Leon Draisaitl,C,EDM                  EDM,28.0,2025,2032,8,"$112,000,000","$14,000,000",14000000.0,2024,8477934,exact,False,8477934,2024,Leon Draisaitl,EDM,C,71.0,91664.0,119.47,0.66,0.45,0.63,0.47,52.0,30.0,24.0,31.42,14.0,27.0,241.0,26.0,23.0,35.0,88.0,22.0,29.0,17.0,27.0,650.0,546.0,127.9,65.88,2004.0,1169.0,146.0,69.0,332.0,175.0,272.0,72319.0,23.0,20.0,10.0,13.63,69.13,45.55,1414.0,994.0,13471.0,14.0,7.0,9.0,8.12,33.07,3.89,389.0,52.0,281.0,0.0,0.0,0.0,0.02,0.02,0.09,2.0,3.0,,,,,,,,,,,,,,
Shea Weber,D,CHI                  CHI,26.0,2012,2025,14,"$110,000,000","$7,857,143",7857143.0,2019,8470642,exact,False,8470642,2019,Shea Weber,MTL,D,65.0,93605.0,54.68,0.5,0.55,0.51,0.55,15.0,9.0,12.0,8.8,4.0,5.0,185.0,16.0,113.0,18.0,80.0,71.0,11.0,16.0,117.0,0.0,0.0,87.31,86.5,1671.0,1580.0,99.0,88.0,226.0,286.0,329.0,69650.0,8.0,8.0,6.0,4.59,59.35,48.3,1300.0,1096.0,8025.0,3.0,0.0,3.0,1.46,13.19,1.89,203.0,42.0,11829.0,0.0,0.0,0.0,0.26,2.84,26.01,48.0,362.0,,,,,,,,,,,,,,
Jack Eichel,C,VGK                  VGK,28.0,2026,2033,8,"$108,000,000","$13,500,000",13500000.0,2024,8478403,exact,False,8478403,2024,Jack Eichel,VGK,C,77.0,94865.0,89.47,0.58,0.51,0.53,0.49,28.0,27.0,39.0,26.32,9.0,33.0,233.0,14.0,22.0,28.0,90.0,23.0,15.0,4.0,55.0,572.0,682.0,119.48,84.75,1763.0,1553.0,155.0,102.0,322.0,262.0,254.0,70132.0,20.0,13.0,14.0,14.95,55.64,49.3,1188.0,1122.0,12441.0,5.0,9.0,18.0,6.12,37.89,3.57,379.0,48.0,6723.0,1.0,1.0,0.0,0.94,2.82,13.07,34.0,221.0,,,,,,,,,,,,,,
Sidney Crosby,C,PIT                  PIT,25.0,2013,2024,12,"$104,400,000","$8,700,000",8700000.0,2019,8471675,exact,False,8471675,2019,Sidney Crosby,PIT,C,41.0,49798.0,45.96,0.58,0.48,0.6,0.47,16.0,20.0,10.0,12.04,4.0,12.0,110.0,10.0,28.0,26.0,25.0,7.0,11.0,6.0,17.0,494.0,393.0,58.64,42.37,996.0,672.0,61.0,55.0,238.0,76.0,199.0,37236.0,9.0,13.0,5.0,6.92,27.7,28.44,640.0,568.0,8966.0,3.0,7.0,5.0,2.4,21.77,2.3,257.0,39.0,692.0,0.0,0.0,0.0,0.0,0.09,2.35,4.0,17.0,,,,,,,,,,,,,,
Nathan MacKinnon,C,COL                  COL,27.0,2023,2030,8,"$100,800,000","$12,600,000",12600000.0,2022,8477492,exact,False,8477492,2022,Nathan MacKinnon,COL,C,71.0,95072.0,125.2,0.62,0.43,0.63,0.45,42.0,42.0,27.0,30.83,12.0,22.0,366.0,25.0,53.0,43.0,47.0,7.0,31.0,15.0,40.0,519.0,649.0,115.41,70.98,2087.0,1251.0,109.0,80.0,376.0,143.0,353.0,73410.0,25.0,30.0,10.0,17.63,62.86,54.16,1406.0,1118.0,16397.0,10.0,5.0,12.0,7.3,32.68,2.88,478.0,50.0,359.0,0.0,0.0,0.0,0.05,0.07,0.07,2.0,2.0,,,,,,,,,,,,,,
Connor McDavid,C,EDM                  EDM,20.0,2018,2025,8,"$100,000,000","$12,500,000",12500000.0,2019,8478402,exact,False,8478402,2019,Connor McDavid,EDM,C,64.0,83861.0,80.82,0.59,0.44,0.56,0.43,34.0,38.0,25.0,24.76,13.0,31.0,211.0,13.0,37.0,53.0,73.0,17.0,24.0,14.0,18.0,319.0,349.0,98.81,68.08,1492.0,1196.0,108.0,71.0,301.0,108.0,234.0,65433.0,21.0,18.0,12.0,16.52,48.76,50.79,970.0,1047.0,13942.0,10.0,17.0,12.0,5.08,36.46,3.96,421.0,62.0,322.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,4.0,,,,,,,,,,,,,,
Kyle Connor,LW,WPG                  WPG,28.0,2026,2033,8,"$96,000,000","$12,000,000",12000000.0,2024,8478398,exact,False,8478398,2024,Kyle Connor,WPG,L,82.0,100342.0,86.77,0.56,0.51,0.53,0.48,41.0,31.0,25.0,30.19,8.0,24.0,267.0,30.0,21.0,33.0,80.0,25.0,11.0,11.0,46.0,1.0,7.0,106.67,85.23,1794.0,1617.0,112.0,97.0,396.0,156.0,252.0,78289.0,26.0,14.0,11.0,17.5,56.89,53.37,1239.0,1336.0,12864.0,6.0,8.0,10.0,6.16,33.22,3.77,368.0,67.0,3828.0,1.0,0.0,0.0,0.98,1.65,5.83,17.0,96.0,,,,,,,,,,,,,,
Mitchell Marner,RW,VGK                  VGK,28.0,2025,2032,8,"$96,000,000","$12,000,000",12000000.0,2024,8478483,exact,False,8478483,2024,Mitch Marner,TOR,R,81.0,103593.0,87.64,0.53,0.46,0.51,0.45,27.0,47.0,28.0,23.73,12.0,30.0,173.0,18.0,49.0,56.0,106.0,33.0,18.0,7.0,40.0,10.0,24.0,128.17,112.76,1851.0,1753.0,163.0,151.0,360.0,376.0,333.0,72408.0,15.0,19.0,16.0,10.71,56.72,49.17,1177.0,1179.0,13820.0,5.0,16.0,9.0,4.05,38.14,5.93,428.0,75.0,9742.0,1.0,1.0,0.0,1.53,2.62,26.02,42.0,303.0,,,,,,,,,,,,,,
Mikko Rantanen,RW,DAL                  DAL,28.0,2025,2032,8,"$96,000,000","$12,000,000",12000000.0,2024,8478420,exact,False,8478420,2024,Mikko Rantanen,DAL,R,82.0,104546.0,89.3,0.6,0.44,0.6,0.48,32.0,34.0,22.0,36.26,15.0,48.0,212.0,28.0,48.0,40.0,82.0,19.0,20.0,25.0,44.0,135.0,120.0,129.44,87.31,2137.0,1430.0,151.0,104.0,444.0,155.0,324.0,79609.0,12.0,19.0,8.0,18.58,64.22,57.48,1439.0,1231.0,18046.0,10.0,6.0,8.0,8.7,34.97,4.09,482.0,68.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
